# timestamps [seconds],pts
-549122.675483,487516
-549122.667462,488042
-549122.655091,488852
-549122.644977,489515
-549122.632989,490301
-549122.627461,490663
-549122.619460,491187
-549122.608474,491907
-549122.599441,492499
-549122.589423,493156
-549122.581007,493707
-549122.571356,494340
-549122.563352,494865
-549122.553749,495494
-549122.545126,496059
-549122.535000,496723
-549122.526004,497312
-549122.515443,498004
-549122.507189,498545
-549122.497845,499158
-549122.489955,499675
-549122.480876,500270
-549122.473492,500753
-549122.464162,501365
-549122.456918,501840
-549122.449746,502310
-549122.441560,502846
-549122.431472,503507
-549122.423446,504033
-549122.415479,504555
-549122.406911,505117
-549122.398490,505669
-549122.389408,506264
-549122.381731,506767
-549122.372652,507362
-549122.365353,507840
-549122.357749,508339
-549122.347129,509035
-549122.339462,509537
-549122.330914,510097
-549122.323403,510590
-549122.313072,511267
-549122.305989,511731
-549122.298120,512246
-549122.289605,512805
-549122.281321,513347
-549122.275393,513736
-549122.263457,514518
-549122.250349,515377
-549122.245988,515663
-549122.239479,516090
-549122.230627,516670
-549122.220827,517312
-549122.209544,518051
-549122.200633,518635
-549122.189295,519378
-549122.179472,520022
-549122.169152,520698
-549122.159935,521302
-549122.148130,522076
-549122.142777,522427
-549122.138728,522692
-549122.131461,523168
-549122.118244,524035
-549122.112814,524391
-549122.104365,524944
-549122.094168,525612
-549122.085193,526201
-549122.074171,526923
-549122.065349,527501
-549122.055115,528172
-549122.046759,528719
-549122.036598,529385
-549122.027646,529972
-549122.016576,530697
-549122.007737,531277
-549121.997155,531970
-549121.987122,532628
-549121.976824,533303
-549121.966840,533957
-549121.954810,534745
-549121.943317,535499
-549121.936053,535975
-549121.926497,536601
-549121.915098,537348
-549121.910494,537650
-549121.903475,538110
-549121.892529,538827
-549121.887500,539156
-549121.878011,539778
-549121.871506,540205
-549121.861934,540832
-549121.850228,541599
-549121.839139,542326
-549121.831251,542843
-549121.825934,543191
-549121.813406,544012
-549121.808721,544319
-549121.799455,544926
-549121.793367,545325
-549121.787472,545712
-549121.776351,546441
-549121.765997,547119
-549121.755276,547822
-549121.744959,548498
-549121.733160,549271
-549121.722824,549949
-549121.711169,550712
-549121.703405,551221
-549121.691617,551994
-549121.679924,552760
-549121.667179,553595
-549121.655784,554342
-549121.642821,555192
-549121.630941,555970
-549121.617015,556883
-549121.606212,557591
-549121.593156,558446
-549121.582858,559121
-549121.568620,560054
-549121.558035,560748
-549121.545075,561597
-549121.534119,562315
-549121.521236,563160
-549121.510005,563896
-549121.499093,564611
-549121.487145,565394
-549121.474810,566202
-549121.464100,566904
-549121.452646,567655
-549121.446346,568067
-549121.433201,568929
-549121.423386,569572
-549121.414219,570173
-549121.406166,570701
-549121.399433,571142
-549121.388360,571868
-549121.378721,572499
-549121.374297,572789
-549121.364135,573455
-549121.355738,574005
-549121.345148,574700
-549121.336253,575282
-549121.330441,575663
-549121.320698,576302
-549121.312428,576844
-549121.306380,577240
-549121.297012,577854
-549121.289075,578374
-549121.279608,578995
-549121.274218,579348
-549121.267412,579794
-549121.255479,580576
-549121.247372,581107
-549121.238084,581716
-549121.230608,582206
-549121.220179,582889
-549121.211989,583426
-549121.202834,584026
-549121.194042,584602
-549121.185205,585181
-549121.176612,585745
-549121.167343,586352
-549121.159563,586862
-549121.149568,587517
-549121.140980,588080
-549121.130966,588736
-549121.120522,589420
-549121.110646,590068
-549121.099741,590782
-549121.089429,591458
-549121.080280,592058
-549121.070309,592711
-549121.060106,593380
-549121.049214,594094
-549121.040632,594656
-549121.029406,595392
-549121.021453,595913
-549121.009789,596677
-549121.001475,597222
-549120.990694,597929
-549120.982422,598471
-549120.971674,599175
-549120.963230,599729
-549120.955310,600248
-549120.945388,600898
-549120.937199,601434
-549120.931450,601811
-549120.919504,602594
-549120.910795,603165
-549120.899988,603873
-549120.891376,604437
-549120.880531,605148
-549120.871491,605741
-549120.863428,606269
-549120.854674,606843
-549120.843998,607542
-549120.835414,608105
-549120.825907,608728
-549120.817099,609305
-549120.806766,609982
-549120.796790,610636
-549120.786915,611283
-549120.778828,611813
-549120.768073,612518
-549120.759509,613079
-549120.749293,613749
-549120.738745,614440
-549120.727964,615147
-549120.718432,615771
-549120.706847,616531
-549120.697468,617145
-549120.685919,617902
-549120.679462,618325
-549120.667408,619115
-549120.658000,619732
-549120.646888,620460
-549120.638003,621042
-549120.626805,621776
-549120.617645,622376
-549120.607289,623055
-549120.598800,623611
-549120.588412,624292
-549120.578773,624924
-549120.568668,625586
-549120.559745,626171
-549120.549110,626868
-549120.540514,627431
-549120.535429,627764
-549120.527512,628283
-549120.519478,628810
-549120.508979,629498
-549120.499453,630122
-549120.491368,630652
-549120.481483,631300
-549120.475422,631697
-549120.467417,632222
-549120.459475,632742
-549120.451422,633270
-549120.443490,633790
-549120.435447,634317
-549120.425681,634957
-549120.415499,635624
-549120.406509,636213
-549120.394975,636969
-549120.390076,637290
-549120.382044,637817
-549120.373195,638396
-549120.365355,638910
-549120.357746,639409
-549120.348149,640038
-549120.341005,640506
-549120.331468,641131
-549120.322919,641691
-549120.315452,642181
-549120.307462,642704
-549120.299132,643250
-549120.291448,643754
-549120.283460,644277
-549120.275286,644813
-549120.267187,645344
-549120.259451,645851
-549120.247452,646637
-549120.239498,647158
-549120.231311,647695
-549120.222030,648303
-549120.215155,648754
-549120.207434,649260
-549120.198085,649872
-549120.187882,650541
-549120.177617,651214
-549120.168629,651803
-549120.159300,652414
-549120.150289,653005
-549120.144576,653379
-549120.133952,654075
-549120.124556,654691
-549120.113988,655384
-549120.104238,656023
-549120.091706,656844
-549120.081920,657485
-549120.070313,658246
-549120.058882,658995
