timestamp,left_gaze_point_on_display_area,right_gaze_point_on_display_area,left_pupil_validity,right_pupil_validity
1698048213862,"(0.5446051161620821, 0.6565900503126777)","(nan, nan)",3,0
1698048213877,"(nan, nan)","(nan, nan)",0,0
1698048213892,"(nan, nan)","(nan, nan)",0,0
1698048213910,"(nan, nan)","(nan, nan)",0,0
1698048213925,"(nan, nan)","(nan, nan)",0,0
1698048213943,"(nan, nan)","(nan, nan)",0,0
1698048213958,"(0.5448775897059386, 0.6955386559608718)","(nan, nan)",3,0
1698048213975,"(nan, nan)","(nan, nan)",0,0
1698048213993,"(0.5424983215313467, 0.6982115601526153)","(nan, nan)",3,0
1698048214008,"(0.5912017196676441, 0.6470399960217751)","(nan, nan)",3,0
1698048214026,"(0.5600774123648653, 0.7075705824963191)","(nan, nan)",3,0
1698048214041,"(0.5662116222741238, 0.644532200217352)","(nan, nan)",3,0
1698048214058,"(0.565408905920901, 0.6384105367203623)","(nan, nan)",3,0
1698048214073,"(0.5590689687430056, 0.6136501422846407)","(nan, nan)",3,0
1698048214091,"(0.5582192237691233, 0.6109392785945037)","(nan, nan)",3,0
1698048214106,"(0.5586811104477416, 0.6668869500191235)","(nan, nan)",3,0
1698048214120,"(0.5591842829242943, 0.6790491115815788)","(nan, nan)",3,0
1698048214138,"(0.5636279205950255, 0.7141705973958261)","(nan, nan)",3,0
1698048214153,"(0.5646288520509076, 0.716901829597296)","(nan, nan)",3,0
1698048214171,"(0.5619440753154202, 0.7140675203839288)","(nan, nan)",3,0
1698048214185,"(0.5650515609046862, 0.7064765465466908)","(nan, nan)",3,0
1698048214202,"(0.5652007960082607, 0.6977541944890473)","(nan, nan)",3,0
1698048214219,"(0.5695383592350479, 0.6892028144810777)","(nan, nan)",3,0
1698048214236,"(0.5715543063417806, 0.6759092746982168)","(nan, nan)",3,0
1698048214251,"(0.5717667560308606, 0.6747760447949627)","(nan, nan)",3,0
1698048214269,"(0.573274323804267, 0.6630829762207824)","(nan, nan)",3,0
1698048214284,"(0.5736012806932139, 0.6494249635305842)","(nan, nan)",3,0
1698048214299,"(0.5752184366930573, 0.6643458239234281)","(nan, nan)",3,0
1698048214316,"(0.5788010926020662, 0.668580931211651)","(nan, nan)",3,0
1698048214331,"(nan, nan)","(nan, nan)",0,0
1698048214348,"(0.5733991968544758, 0.6514945277275398)","(nan, nan)",3,0
1698048214366,"(0.5796525159380266, 0.6676334868208588)","(nan, nan)",3,0
1698048214381,"(0.5793459729773653, 0.6396098099785444)","(nan, nan)",3,0
1698048214399,"(nan, nan)","(nan, nan)",0,0
1698048214414,"(0.558991906796778, 0.5902800530543)","(nan, nan)",3,0
1698048214431,"(0.5840022668151189, 0.6575930451889238)","(nan, nan)",3,0
1698048214445,"(0.5800808757239218, 0.6431314021424963)","(nan, nan)",3,0
1698048214462,"(0.5810906512972108, 0.6551500582841965)","(nan, nan)",3,0
1698048214480,"(0.5829788033344138, 0.6554210212076871)","(nan, nan)",3,0
1698048214494,"(0.5788989851585363, 0.6463434546569482)","(nan, nan)",3,0
1698048214511,"(0.5793694757424007, 0.6436507991814877)","(nan, nan)",3,0
1698048214526,"(0.5749672977938093, 0.645845043356906)","(nan, nan)",3,0
1698048214544,"(0.5749266245049715, 0.6430573348285581)","(nan, nan)",3,0
1698048214559,"(0.5745304972056666, 0.6619293778061955)","(nan, nan)",3,0
1698048214577,"(0.5732428397866816, 0.6754352438890123)","(nan, nan)",3,0
1698048214592,"(0.5766230260257271, 0.6824342964423612)","(nan, nan)",3,0
1698048214609,"(0.5771316072944845, 0.6845430545929426)","(nan, nan)",3,0
1698048214623,"(0.578611967171323, 0.680741241091258)","(nan, nan)",3,0
