timestamp,left_x,left_y,right_x,right_y,left_validity,right_validity
1698316120823,0.4791666666666667,0.7916666666666666,0.4791666666666667,0.7916666666666666,0.940011203289032,0.940011203289032
1698316120865,0.4791666666666667,0.7916666666666666,0.4791666666666667,0.7916666666666666,0.9745277166366576,0.9745277166366576
1698316120908,0.4791666666666667,0.7916666666666666,0.4791666666666667,0.7916666666666666,1.0,1.0
1698316120951,0.5,0.7916666666666666,0.5,0.7916666666666666,0.9864844679832458,0.9864844679832458
1698316120995,0.5416666666666666,0.7916666666666666,0.5416666666666666,0.7916666666666666,0.8773674368858337,0.8773674368858337
1698316121037,0.5625,0.8333333333333334,0.5625,0.8333333333333334,0.9354264140129088,0.9354264140129088
1698316121083,0.5625,0.8333333333333334,0.5625,0.8333333333333334,0.9748138189315796,0.9748138189315796
1698316121126,0.5625,0.8333333333333334,0.5625,0.8333333333333334,0.9636919498443604,0.9636919498443604
1698316121169,0.5208333333333334,0.8333333333333334,0.5208333333333334,0.8333333333333334,0.8976069688796997,0.8976069688796997
1698316121211,0.5208333333333334,0.8333333333333334,0.5208333333333334,0.8333333333333334,0.8042172789573669,0.8042172789573669
1698316121255,0.5208333333333334,0.8333333333333334,0.5208333333333334,0.8333333333333334,0.9150198101997375,0.9150198101997375
1698316121300,0.5208333333333334,0.8333333333333334,0.5208333333333334,0.8333333333333334,0.8708383440971375,0.8708383440971375
1698316121346,0.5208333333333334,0.8333333333333334,0.5208333333333334,0.8333333333333334,0.7625749707221985,0.7625749707221985
1698316121389,0.5208333333333334,0.875,0.5208333333333334,0.875,0.850581705570221,0.850581705570221
1698316121438,0.5,0.875,0.5,0.875,0.8889538049697876,0.8889538049697876
1698316121482,0.5,0.875,0.5,0.875,0.8577083945274353,0.8577083945274353
1698316121527,0.5,0.875,0.5,0.875,0.754833459854126,0.754833459854126
1698316121570,0.5208333333333334,0.875,0.5208333333333334,0.875,0.7579379081726074,0.7579379081726074
1698316121613,0.5,0.875,0.5,0.875,0.8466326594352722,0.8466326594352722
1698316121655,0.5,0.875,0.5,0.875,0.7784574031829834,0.7784574031829834
1698316121698,0.4791666666666667,0.875,0.4791666666666667,0.875,0.9955713152885436,0.9955713152885436
1698316121741,0.5416666666666666,0.7083333333333334,0.5416666666666666,0.7083333333333334,0.4466949456609481,0.4466949456609481
1698316121780,nan,nan,nan,nan,0,0
1698316121825,0.3541666666666667,0.7083333333333334,0.3541666666666667,0.7083333333333334,0.2217793970893777,0.2217793970893777
1698316121872,0.2916666666666667,0.7083333333333334,0.2916666666666667,0.7083333333333334,0.3164524456917363,0.3164524456917363
1698316121923,0.3125,0.75,0.3125,0.75,0.2706254386540563,0.2706254386540563
1698316121972,0.375,0.7916666666666666,0.375,0.7916666666666666,0.2312481949987378,0.2312481949987378
1698316122020,0.16666666666666666,0.625,0.16666666666666666,0.625,0.2417837272900967,0.2417837272900967
1698316122068,0.125,0.5833333333333334,0.125,0.5833333333333334,0.2969431411942144,0.2969431411942144
1698316122115,nan,nan,nan,nan,0,0
1698316122163,nan,nan,nan,nan,0,0
1698316122211,nan,nan,nan,nan,0,0
1698316122258,nan,nan,nan,nan,0,0
1698316122305,nan,nan,nan,nan,0,0
1698316122353,nan,nan,nan,nan,0,0
1698316122401,nan,nan,nan,nan,0,0
1698316122452,0.1875,0.625,0.1875,0.625,0.99,0.99
1698316122502,0.125,0.5833333333333334,0.125,0.5833333333333334,0.2648155040352339,0.2648155040352339
1698316122551,0.125,0.4583333333333333,0.125,0.4583333333333333,0.9551753120329562,0.9551753120329562
1698316122603,0.10416666666666667,0.4166666666666667,0.10416666666666667,0.4166666666666667,0.7748405933380127,0.7748405933380127
1698316122654,0.22916666666666666,0.5833333333333334,0.22916666666666666,0.5833333333333334,0.2539166146890633,0.2539166146890633
1698316122702,0.22916666666666666,0.4166666666666667,0.22916666666666666,0.4166666666666667,0.2308890411520975,0.2308890411520975
1698316122753,0.6666666666666666,0.9166666666666666,0.6666666666666666,0.9166666666666666,0.7531313187289312,0.7531313187289312
1698316122804,0.125,0.375,0.125,0.375,0.1676281570651256,0.1676281570651256
1698316122852,0.14583333333333334,0.16666666666666666,0.14583333333333334,0.16666666666666666,0.2738852652786338,0.2738852652786338
1698316122898,0.4166666666666667,0.4583333333333333,0.4166666666666667,0.4583333333333333,0.2796523318475164,0.2796523318475164
1698316122946,0.3333333333333333,0.375,0.3333333333333333,0.375,0.3777757180165402,0.3777757180165402
1698316122991,0.4791666666666667,0.375,0.4791666666666667,0.375,0.5804699075649965,0.5804699075649965
1698316123038,0.5,0.4166666666666667,0.5,0.4166666666666667,0.2983472028232004,0.2983472028232004
1698316123091,0.4791666666666667,0.3333333333333333,0.4791666666666667,0.3333333333333333,0.2793774411781154,0.2793774411781154
1698316123137,0.4375,0.16666666666666666,0.4375,0.16666666666666666,0.7043343782424927,0.7043343782424927
1698316123180,0.4583333333333333,0.16666666666666666,0.4583333333333333,0.16666666666666666,0.7978708744049072,0.7978708744049072
