# timestamps [seconds],pts
62549.221210,1870632
62549.257353,1873001
62549.289460,1875105
62549.321343,1877194
62549.357345,1879554
62549.389463,1881658
62549.425380,1884012
62549.457360,1886108
62549.489359,1888205
62549.525500,1890574
62549.557328,1892659
62549.593170,1895008
62549.625337,1897116
62549.657424,1899219
62549.693296,1901570
62549.725370,1903672
62549.757317,1905766
62549.793213,1908118
62549.825432,1910230
62549.861177,1912572
62549.893212,1914672
62549.925490,1916787
62549.961271,1919132
62549.993276,1921229
62550.025334,1923330
62550.061199,1925681
62550.093295,1927784
62550.129280,1930142
62550.161325,1932242
62550.193198,1934331
62550.229284,1936696
62550.261292,1938794
62550.293179,1940883
62550.329286,1943250
62550.361320,1945349
62550.397458,1947717
62550.429240,1949800
62550.461178,1951893
62550.497269,1954258
62550.529198,1956351
62550.561198,1958448
62550.597430,1960822
62550.629176,1962903
62550.665381,1965276
62550.697332,1967370
62550.729194,1969458
62550.765350,1971827
62550.797486,1973933
62550.829222,1976013
62550.865499,1978390
